entity,state,type,affected,date,incident,location,business_associate
Visiting Nurse Services of Iowa,IA,Healthcare Provider,1298,7/16/12,Theft,Paper/Films,No
OPEN ARMS ASSISTED LIVING,WI,Business Associate,6000,7/15/22,Unauthorized Access/Disclosure,Other Portable Electronic Device,Yes
Guidehouse,VA,Business Associate,91331,7/15/21,Hacking/IT Incident,Network Server,Yes
SRPMIC Employee Health Plan,AZ,Health Plan,1708,7/15/20,Hacking/IT Incident,Network Server,Yes
Wisconsin Department of Corrections,WI,Healthcare Provider,1853,7/15/20,Unauthorized Access/Disclosure,Network Server,No
"Northwood, Inc",MI,Business Associate,5563,7/15/19,Unauthorized Access/Disclosure,Email,Yes
"Sunrise Medical Laboratories, Inc.",NY,Healthcare Provider,401901,7/15/19,Hacking/IT Incident,Network Server,No
"CBLPath, Inc.",NY,Healthcare Provider,141956,7/15/19,Unauthorized Access/Disclosure,Network Server,No
"Clinical Pathology Laboratories, Inc.",TX,Healthcare Provider,1733836,7/15/19,Hacking/IT Incident,Network Server,No
Colorado Eye Center,CO,Healthcare Provider,4478,7/15/19,Hacking/IT Incident,Other,No
Memphis Pathology Laboratory d/b/a American Esoteric Laboratories,TN,Healthcare Provider,417146,7/15/19,Hacking/IT Incident,Network Server,No
"Natera, Inc.",CA,Healthcare Provider,3035,7/15/19,Hacking/IT Incident,Network Server,Yes
"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,7/15/17,Hacking/IT Incident,Network Server,No
Providence Medical Group- Gateway Clinics,OR,Healthcare Provider,5978,7/15/16,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Lee Rice D.O., Medical Corp DBA Lifewellness Institute",CA,Healthcare Provider,2473,7/15/16,Hacking/IT Incident,Electronic Medical Record,Yes
Indian Health Service -Rosebud,MD,Healthcare Provider,620,7/15/14,Loss,Paper/Films,No
Sheet Metal Local 36 Welfare Fund,MO,Business Associate,4560,7/15/13,Unauthorized Access/Disclosure,Other,Yes
"Hansen and Associates, Inc.",WY,Business Associate,2700,7/15/13,Unauthorized Access/Disclosure,Desktop Computer,Yes
Illinois Department of Healthcare and Family Services,IL,Healthcare Provider,3133,7/15/13,Hacking/IT Incident,Paper/Films,No
Memorial Health Systems,CO,Healthcare Provider,2300,7/15/11,Unauthorized Access/Disclosure,Network Server,No
"DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,Healthcare Provider,7500,7/15/11,Theft,Paper/Films,No
Prince William County Community Services (CS),VA,Healthcare Provider,669,7/15/10,Theft,Other Portable Electronic Device,No
City of Lincoln Aging Partners,NE,Business Associate,1513,7/14/21,Hacking/IT Incident,Email,Yes
"Synergic Healthcare Solutions, Inc. dba TGH Urgent Care powered by Fast Track",FL,Business Associate,558,7/14/21,Theft,Other,Yes
Aetna ACE,CT,Health Plan,8664,7/14/21,Hacking/IT Incident,Email,No
"Coalinga Valley Health Clinics, Inc.",CA,Healthcare Provider,1463,7/14/20,Theft,Paper/Films,No
City Dental,CA,Healthcare Provider,900,7/14/20,Hacking/IT Incident,Network Server,No
"Braun Internal Medicine, P.C.",GA,Healthcare Provider,680,7/14/17,Unauthorized Access/Disclosure,Email,No
Blaine Chiropractic Center,MN,Healthcare Provider,1945,7/14/16,Hacking/IT Incident,Network Server,No
"SUNSHINE STATE HEALTH PLAN, INC.",FL,Health Plan,1479,7/14/16,Unauthorized Access/Disclosure,Email,No
"Cefalu Eye-Tech of Green, Inc.",OH,Healthcare Provider,850,7/14/16,Unauthorized Access/Disclosure,Electronic Medical Record,No
Arkansas Blue Cross and Blue Shield,AR,Health Plan,560,7/14/15,Theft,Desktop Computer,Yes
Maricopa Special  Health Care District - Maricopa Integrated Health System,AZ,Healthcare Provider,633,7/14/15,Loss,Other Portable Electronic Device,No
Nystrom & Associates,MN,Healthcare Provider,985,7/13/21,Hacking/IT Incident,Email,No
On Lok Senior Health Services,CA,Health Plan,1643,7/13/21,Hacking/IT Incident,Network Server,No
The George Washington University Medical Faculty Associates,DC,Healthcare Provider,576,7/13/21,Unauthorized Access/Disclosure,Email,No
King County Public Hospital District No. 2 d/b/a EvergreenHealth,WA,Healthcare Provider,22579,7/13/21,Hacking/IT Incident,Network Server,Yes
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,10251784,7/13/19,Hacking/IT Incident,Network Server,Yes
Wise Health System,TX,Healthcare Provider,35899,7/13/19,Hacking/IT Incident,Email,No
Rocky Mountain Health Care Services,CO,Healthcare Provider,1087,7/13/18,Theft,Laptop,No
Alive Hospice,TN,Healthcare Provider,1868,7/13/18,Hacking/IT Incident,Email,No
Central New York Cardiology,NY,Healthcare Provider,824,7/13/18,Loss,Paper/Films,No
Billings Clinic,MT,Healthcare Provider,9417,7/13/18,Hacking/IT Incident,Email,No
"New England Dermatology, P.C.",MA,Healthcare Provider,16154,7/13/18,Improper Disposal,Paper/Films,No
Charles Cole Memorial Hospital,PA,Healthcare Provider,790,7/13/18,Hacking/IT Incident,Email,No
Detroit Medical Center,MI,Healthcare Provider,1529,7/13/17,Theft,Paper/Films,No
Professional Counseling & Medical Associates,TN,Healthcare Provider,2500,7/13/17,Hacking/IT Incident,Electronic Medical Record,Yes
Mayo Clinic Health System- Red Wing,MN,Healthcare Provider,601,7/13/15,Unauthorized Access/Disclosure,Electronic Medical Record,No
"Patterson Dental, Inc.",MN,Business Associate,2533,7/13/12,Unknown,Other Portable Electronic Device,Yes
Dr Axel Velez,PR,Healthcare Provider,2800,7/13/11,Theft,Desktop Computer,No
"Synergic Healthcare Solutions, LLC d/b/a Fast Track Urgent Care Center",FL,Healthcare Provider,258411,7/12/22,Hacking/IT Incident,Network Server,Yes
"Oklahoma Heart Hospital, LLC",OK,Healthcare Provider,1038,7/12/21,Unauthorized Access/Disclosure,Paper/Films,No
"Northwood, Inc.",MI,Business Associate,5000,7/12/19,Unauthorized Access/Disclosure,Email,Yes
"Rogerson House, Inc.",MA,Healthcare Provider,500,7/12/19,Hacking/IT Incident,Network Server,Yes
CentraCare Health System,MN,Healthcare Provider,2085,7/12/19,Hacking/IT Incident,Network Server,Yes
"Penobscot Community Health Center, Inc.",ME,Healthcare Provider,13299,7/12/19,Hacking/IT Incident,Other,Yes
Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center,PA,Healthcare Provider,3904,7/12/19,Hacking/IT Incident,Email,No
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,4559,7/12/19,Hacking/IT Incident,Email,No
Hunt Regional Medical Center,TX,Healthcare Provider,3700,7/12/19,Hacking/IT Incident,Network Server,No
"Midwestern Regional Medical Center, Inc.",IL,Healthcare Provider,2675,7/12/18,Unauthorized Access/Disclosure,Other,No
Kaiser Permanente Northern California,CA,Health Plan,1136,7/12/16,Theft,Other Portable Electronic Device,No
Western Regional Center for Brain and Spine Surgery,NV,Healthcare Provider,12000,7/12/14,Theft,Network Server,No
SwedishAmerican Health System,IL,Healthcare Provider,1500,7/12/12,Theft,Paper/Films,No
"CareCentrix, Inc.",CT,Healthcare Provider,467621,7/11/19,Hacking/IT Incident,Network Server,Yes
LC&Z General and Cosmetic Dentistry,FL,Healthcare Provider,4391,7/11/17,Unauthorized Access/Disclosure,Email,No
"Lasair Aesthetic Health, P.C.",CO,Healthcare Provider,1835,7/11/16,Unauthorized Access/Disclosure,Email,No
"Health Incent, LLC",TN,Healthcare Provider,1100,7/11/16,Hacking/IT Incident,Other,No
Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain,AR,Healthcare Provider,17100,7/11/16,Hacking/IT Incident,Network Server,Yes
"InSync Computer Solutions, Inc.",AL,Business Associate,50918,7/11/14,Other,Network Server,Yes
Long Beach Memorial Medical Center,CA,Healthcare Provider,2864,7/11/13,Unauthorized Access/Disclosure,Electronic Medical Record,No
Shred-it International Inc.,TX,Business Associate,277014,7/11/13,Improper Disposal,Other,Yes
Lansing Community College,MI,Business Associate,5000,7/11/11,Hacking/IT Incident,Network Server,Yes
"CSI Financial Services, LLC dba ClearBalance",CA,Business Associate,3191,7/10/21,Hacking/IT Incident,Email,Yes
"Greenway Health, LLC",FL,Business Associate,2490,7/10/20,Hacking/IT Incident,Network Server,Yes
"Jim Dinh, DC",TX,Business Associate,500,7/10/20,Theft,Other Portable Electronic Device,Yes
Essentia Health - Duluth,MN,Healthcare Provider,1377,7/10/19,Hacking/IT Incident,Email,Yes
"Benefitfocus.com, Inc.",SC,Business Associate,827,7/10/19,Unauthorized Access/Disclosure,Paper/Films,Yes
"Blue Springs Family Care, P.C.",MO,Healthcare Provider,44979,7/10/18,Hacking/IT Incident,Network Server,No
MedEvolve,AR,Business Associate,205434,7/10/18,Unauthorized Access/Disclosure,Network Server,Yes
White Coats Wellness,FL,Business Associate,10000,7/10/17,Hacking/IT Incident,Email,Yes
"Andrea Yaley, DDS",CA,Healthcare Provider,1200,7/10/17,Hacking/IT Incident,Network Server,No
Amsterdam Nursing Home Corporation (1992),NY,Healthcare Provider,621,7/10/15,Loss,Paper/Films,Yes
Howard University,DC,Healthcare Provider,1445,7/10/15,Unauthorized Access/Disclosure,Paper/Films,No
"Integral Health Plan, Inc.",FL,Health Plan,7549,7/10/15,Unauthorized Access/Disclosure,Paper/Films,Yes
"Medtronic, Inc.",MN,Healthcare Provider,2764,7/10/13,Theft,Paper/Films,No
Children's Medical Center of Dallas,TX,Healthcare Provider,2462,7/10/13,Theft,Laptop,No
ZDI,CA,Business Associate,4718,7/10/13,Loss,Paper/Films,Yes
Saint Peter's University Hospital,NJ,Healthcare Provider,585,7/9/21,Hacking/IT Incident,Network Server,Yes
"Tak-ming Ko, M.D., LLC",AK,Healthcare Provider,1158,7/9/20,Hacking/IT Incident,Electronic Medical Record,Yes
St. Croix Hospice,MN,Healthcare Provider,21407,7/9/19,Hacking/IT Incident,Email,No
GOLDEN HEART ADMINISTRATIVE PROFESSIONALS,AK,Business Associate,44600,7/9/18,Hacking/IT Incident,Network Server,Yes
Rosalind Franklin University of Medicine,IL,Healthcare Provider,859,7/9/17,Hacking/IT Incident,Email,No
Ledet Family Chiropractic Cener,PA,Healthcare Provider,530,7/9/17,Hacking/IT Incident,Network Server,No
"St. Vincent Hospital and Health Care Center, Inc.",IN,Business Associate,63325,7/9/14,Unauthorized Access/Disclosure,Paper/Films,Yes
Governor's Office of Information Technology,CO,Business Associate,105470,7/9/10,Theft,Desktop Computer,Yes
McLaren Port Huron,MI,Healthcare Provider,48957,7/8/22,Hacking/IT Incident,Network Server,Yes
"Kurilec Eye Care, LLC",CT,Healthcare Provider,2876,7/8/22,Hacking/IT Incident,Electronic Medical Record,Yes
Oscar Insurance Company of Florida,FL,Health Plan,516,7/8/21,Hacking/IT Incident,Other,No
CNA Financial Corporation,IL,Health Plan,5095,7/8/21,Hacking/IT Incident,Network Server,No
Osborn Cancer Care,WA,Healthcare Provider,4614,7/8/21,Hacking/IT Incident,Network Server,Yes
"Forefront Dermatology, S.C.",WI,Healthcare Provider,2413553,7/8/21,Hacking/IT Incident,Network Server,Yes
"Hutton & Hale, D.D.S.",CA,Healthcare Provider,8394,7/8/20,Hacking/IT Incident,Network Server,No
Nemadji Research Corporation d/b/a California Reimbursement Enterprises,MN,Business Associate,14591,7/8/19,Hacking/IT Incident,Email,Yes
Ameritas Life Insurance Corp.,NE,Health Plan,39675,7/8/19,Hacking/IT Incident,Email,No
Multnomah County Department of Human Services,OR,Business Associate,713,7/8/19,Unauthorized Access/Disclosure,Other,Yes
Massachusetts General Hospital,MA,Healthcare Provider,648,7/8/15,Unauthorized Access/Disclosure,Email,No
Georgia Department of Human Services,GA,Health Plan,2983,7/8/15,Unauthorized Access/Disclosure,Email,No
Haley Chiropractic Clinic,WA,Healthcare Provider,6000,7/8/14,Theft,Laptop,No
Highmark Inc.,PA,Business Associate,2589,7/8/14,Theft,Paper/Films,Yes
Family Health Network,IL,Business Associate,3133,7/8/13,Other,Paper/Films,Yes
Jackson Health System,FL,Healthcare Provider,1562,7/8/11,Unauthorized Access/Disclosure,Other,No
Troy Regional Medical Center,AL,Healthcare Provider,880,7/8/11,Unauthorized Access/Disclosure,Paper/Films,No
The Mount Sinai Hospital,NY,Healthcare Provider,712,7/8/11,Theft,Laptop,No
SunBridge Healthcare Corporation,NM,Healthcare Provider,3830,7/8/10,Theft,Laptop,No
University of Florida,FL,Healthcare Provider,2047,7/8/10,Other,Paper/Films,No
Phoenixville Hospital,PA,Healthcare Provider,934,7/7/22,Unauthorized Access/Disclosure,Desktop Computer,No
Florida Heart Associates,FL,Healthcare Provider,45148,7/7/21,Hacking/IT Incident,Network Server,No
Triangle Women's Center,NC,Healthcare Provider,978,7/7/21,Unauthorized Access/Disclosure,Email,No
Hope Medical LLC,GA,Healthcare Provider,500,7/7/21,Unauthorized Access/Disclosure,Paper/Films,No
University of Mississippi Medical Center,MS,Healthcare Provider,7492,7/7/17,Hacking/IT Incident,Network Server,No
"Unconditional Love, Incorporated",FL,Healthcare Provider,643,7/7/17,Unauthorized Access/Disclosure,Paper/Films,No
"Peachtree Neurological Clinic, P.C.",GA,Healthcare Provider,176295,7/7/17,Hacking/IT Incident,Network Server,No
"Heart Center of Southern Maryland, L.L.P.",MD,Healthcare Provider,1350,7/7/16,Hacking/IT Incident,Electronic Medical Record,No
The Ambulatory Surgery Center at St. Mary (ACASM),PA,Healthcare Provider,13000,7/7/16,Hacking/IT Incident,Network Server,No
Montana Department of Public Health & Human Services,MT,Health Plan,1062509,7/7/14,Hacking/IT Incident,Network Server,No
D&J Optical Inc.,AL,Health Plan,1100,7/7/14,Hacking/IT Incident,Desktop Computer,No
Long Island Consultation Center,NY,Healthcare Provider,800,7/7/10,Theft,Other,No
NYU Hospitals Center,NY,Healthcare Provider,2563,7/7/10,Theft,Other Portable Electronic Device,No
"Accu Copy of Greenville, Incorporated",NC,Business Associate,21800,7/6/20,Hacking/IT Incident,Network Server,Yes
Four Winds Behavioral Health,NM,Healthcare Provider,500,7/6/20,Hacking/IT Incident,Email,No
"The Terteling Co., Inc., Group Benefit Plan",ID,Health Plan,4824,7/6/18,Hacking/IT Incident,Email,No
Overlake arthritis and Osteoporosis Center,WA,Healthcare Provider,627,7/6/18,Hacking/IT Incident,Desktop Computer,No
VCU Health System,VA,Healthcare Provider,4686,7/6/18,Unauthorized Access/Disclosure,Electronic Medical Record,No
University of California Davis Health,CA,Healthcare Provider,14900,7/6/17,Hacking/IT Incident,Email,No
Care 1st Health Plan,CA,Business Associate,29000,7/6/10,Other,Other,Yes
Parmer Medical Center,TX,Healthcare Provider,2400,7/5/22,Hacking/IT Incident,Network Server,Yes
Arbuckle Memorial Hospital,OK,Healthcare Provider,1907,7/5/22,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Hemphill, Inc d/b/a Sabine County Hospital",TX,Healthcare Provider,958,7/5/22,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Muleshoe, Inc d/b/a Muleshoe Area Medical Center",TX,Healthcare Provider,1212,7/5/22,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Junction, Inc d/b/a Kimble Hospital",TX,Healthcare Provider,1041,7/5/22,Hacking/IT Incident,Network Server,Yes
"Preferred Hospital Leasing Van Horn, Inc d/b/a Culberson Hospital",TX,Healthcare Provider,689,7/5/22,Hacking/IT Incident,Network Server,Yes
Preferred Hospital Leasing Coleman Inc. d/b/a Coleman County Medical Center,TX,Healthcare Provider,1159,7/5/22,Hacking/IT Incident,Network Server,Yes
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies",OH,Healthcare Provider,6572,7/5/19,Hacking/IT Incident,Network Server,No
Health Alliance Plan,MI,Health Plan,2814,7/5/18,Hacking/IT Incident,Email,No
Walnut Place,TX,Healthcare Provider,5000,7/5/17,Hacking/IT Incident,Network Server,No
The Dermatology Center of Raleigh PA,NC,Healthcare Provider,3000,7/5/17,Unauthorized Access/Disclosure,Email,No
Sutter Health East Bay Region,CA,Healthcare Provider,4479,7/5/13,Unauthorized Access/Disclosure,Email,Yes
MED-EL Coproration,NC,Healthcare Provider,609,7/5/13,Other,Email,No
Health Texas Provider Network - Cardiovascular Consultants of North Texas,TX,Healthcare Provider,2462,7/5/12,Unauthorized Access/Disclosure,Electronic Medical Record,No
VA Long Beach Healthcare System,CA,Healthcare Provider,592,7/4/14,Unauthorized Access/Disclosure,Paper/Films,No
Yanez Dental Corporation,CA,Healthcare Provider,10190,7/4/11,Theft,Network Server,No
Alive Hospice,TN,Healthcare Provider,608,7/3/19,Hacking/IT Incident,Email,No
Home for Little Wanderers,MA,Healthcare Provider,861,7/3/18,Unauthorized Access/Disclosure,Paper/Films,No
"Physician Associates, LLC",FL,Healthcare Provider,710,7/3/18,Unauthorized Access/Disclosure,Other,Yes
"PVHS-ICM Employee Health and Wellness, LLC as covered entity and business associate",CO,Healthcare Provider,10143,7/3/17,Hacking/IT Incident,Network Server,No
Kennebunk Center for Dentistry,ME,Healthcare Provider,1900,7/3/17,Unauthorized Access/Disclosure,Paper/Films,No
FireKeepers Casino Hotel,MI,Health Plan,7666,7/3/15,Hacking/IT Incident,Network Server,No
"University of Oklahoma, Department of Obstetrics and Gynecology",OK,Healthcare Provider,7693,7/3/15,Theft,Laptop,No
Samaritan Regional Health System,OH,Healthcare Provider,2203,7/3/13,Theft,Paper/Films,No
"South Florida Neurology Associates, P.A.",FL,Healthcare Provider,900,7/3/13,Theft,Laptop,No
"Sharon L. Rogers, Ph.D., ABPP",TX,Healthcare Provider,585,7/3/12,Theft,Laptop,No
"University of Maryland, Baltimore",MD,Business Associate,37263,7/2/21,Hacking/IT Incident,Network Server,Yes
Cook County Health,IL,Health Plan,898,7/2/21,Unauthorized Access/Disclosure,Paper/Films,Yes
"St. Vincent's Services, Inc. D/B/A HeartShare St. Vincent's Services",NY,Healthcare Provider,1927,7/2/21,Hacking/IT Incident,Network Server,Yes
"HeartShare Wellness, LTD",NY,Healthcare Provider,586,7/2/21,Hacking/IT Incident,Network Server,Yes
Central California Alliance for Health,CA,Health Plan,35940,7/2/20,Hacking/IT Incident,Email,No
Independence Blue Cross,PA,Business Associate,2393,7/2/20,Unauthorized Access/Disclosure,Network Server,Yes
Mercy Health System Corporation,WI,Healthcare Provider,5946,7/2/19,Hacking/IT Incident,Email,Yes
"Adirondacks ACO, LLC",NY,Business Associate,39649,7/2/19,Hacking/IT Incident,Email,Yes
Memorial Hermann Health System,TX,Healthcare Provider,507,7/2/19,Unauthorized Access/Disclosure,Email,No
